"Distribution of the biomass (tonne) of prey species (in columns) in the diet of SpinyDogfish by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,7.659065,5.4718704,0.09922332,0.29518172,0.0,2.5530017E-8,5.8899267E-4,0.41817322,81.85039,1.4775566,0.14641526,0.3400043,41.27293,13.242551,11.923298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.50989
1.0,2.0,4.6820893,2.2786179,0.036802545,0.22444886,0.0050836913,0.010429085,0.004585895,0.24053937,28.936344,0.665727,0.40586346,0.14387408,15.637026,7.212881,4.4837103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.724873
1.0,4.0,5.9200644,3.2546506,0.043758344,0.38739222,0.020769618,0.0551194,0.0129593,0.34956363,35.425682,0.92975634,0.9934233,0.22517969,17.985714,9.424181,5.8806496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.70353
1.0,6.0,7.142521,3.979309,0.069600634,0.5409405,0.03375559,0.16849643,0.025225114,0.47671354,41.586407,1.129758,1.9027371,0.41560975,21.473686,11.959711,7.054302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.69854
1.0,8.0,7.5467405,4.6426783,0.08417121,0.5823332,0.043418113,0.29878786,0.04027743,0.52090937,45.178505,1.3928692,3.3407452,0.8581473,23.11701,13.302887,7.4340377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.52485
1.0,10.0,8.210851,4.8191705,0.09473564,0.62033373,0.05545914,0.39500007,0.054844722,0.5875252,48.654716,1.6461844,5.028864,0.98756176,25.000988,13.729906,7.9948444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.756805
1.0,12.0,8.796074,5.0146837,0.118265726,0.68836045,0.0661541,0.46565363,0.06782167,0.6367363,50.946716,1.950009,6.688066,1.0869635,26.976635,14.775819,8.656809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.17601
1.0,14.0,8.832662,5.733366,0.111948505,0.744057,0.070131764,0.5238949,0.07333548,0.60729903,53.28582,2.1182501,7.8333874,1.1062574,27.375013,15.366047,9.161321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.49025
1.0,16.0,9.3549385,5.2402635,0.1165082,0.72759944,0.08025671,0.5454605,0.08078912,0.66377014,53.65808,2.1631322,8.012665,1.1173576,27.291191,15.489795,9.213343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.948814
1.0,18.0,8.839738,5.336028,0.11783221,0.7078777,0.081379086,0.55743283,0.083946176,0.64249516,53.371082,2.2728415,7.8697186,1.0772655,26.79103,15.142422,8.765371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.5827
1.0,20.0,8.482044,5.332152,0.11392658,0.680984,0.08249898,0.5612205,0.08961801,0.6358721,51.06989,2.262736,7.842674,1.093332,26.453058,14.81655,9.030794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.62205
1.0,22.0,8.723759,5.294958,0.11561149,0.6852003,0.084123224,0.5782041,0.091348186,0.62279826,49.86827,2.2688036,7.665513,1.0464492,25.842617,14.349193,8.625331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.796
1.0,24.0,8.4805,5.1052155,0.10936967,0.6272608,0.08777651,0.55737585,0.089366324,0.64035666,48.7948,2.2972944,7.344418,1.0205456,25.262796,14.465471,8.214251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.4835
1.0,26.0,8.162117,5.1266804,0.106948115,0.6341607,0.08676409,0.55140793,0.09068457,0.56925005,46.60316,2.1602309,7.1153436,0.97945637,24.81855,13.654865,7.9612656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.790764
1.0,28.0,7.638117,4.735857,0.100392796,0.616048,0.08507745,0.5509955,0.08924138,0.5772133,45.48411,2.0907118,6.77409,0.96473277,23.716822,12.600443,7.7583914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.75136
1.0,30.0,7.427135,4.452767,0.09849305,0.58540374,0.08225353,0.51880515,0.08392682,0.4978957,42.994835,2.0376246,6.5212617,0.9003954,22.697325,12.706393,7.3911366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.231735
1.0,32.0,7.2272882,4.2622075,0.08235638,0.5537316,0.08035463,0.49117377,0.08209906,0.53481674,40.49951,2.0173376,6.249984,0.85800236,21.075808,12.3892145,7.111616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.212326
1.0,34.0,6.8090997,4.106893,0.08588493,0.51931196,0.07714124,0.45632786,0.08076272,0.51111317,38.118206,1.8880255,5.9221263,0.8601487,20.564165,11.619298,6.496243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.084988
1.0,36.0,6.3465786,3.7717698,0.078102775,0.5065269,0.07333563,0.44370705,0.075060144,0.43549263,37.664974,1.8040297,5.5711703,0.77721816,19.376019,10.562153,6.1873713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0917
1.0,38.0,5.88608,3.6596253,0.076868035,0.4706488,0.07116224,0.44670466,0.06947491,0.41895467,35.369293,1.6889242,5.2638526,0.72874695,18.214813,10.432749,5.805991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.92015
1.0,40.0,0.11450153,0.114032686,4.4065603E-4,0.0062277666,0.0014692855,0.012459311,0.0013165032,0.011724411,0.86243826,0.040576782,0.10335,0.012274901,0.32991606,0.1845829,0.0915438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94827014
2.0,0.0,42.428196,6.8173575,0.2454239,0.75768375,0.0,0.0,3.60809E-5,2.0259473,229.21257,8.285106,0.49061573,3.2931807,99.334274,89.10229,28.517874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.95523
2.0,2.0,6.909166,1.6859785,0.029531782,0.11407455,0.0068525653,0.0,8.2071665E-6,0.51899946,34.82396,1.6265777,0.19988495,0.5479066,14.980545,13.609117,3.6494522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.561714
2.0,4.0,6.9797454,1.7973077,0.04631754,0.17594615,0.03627556,0.0,5.5198707E-5,0.6517082,36.516357,1.9464506,0.57844627,0.41409674,15.311158,14.973258,4.2450285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.843605
2.0,6.0,8.191337,2.1239812,0.07819223,0.2101643,0.07979577,0.0,0.0043949676,0.72289884,42.31471,2.1065521,1.3393625,0.5909231,18.084349,17.102661,5.596992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.23787
2.0,8.0,8.964829,2.420695,0.06670472,0.22430602,0.11187987,0.025419956,0.018669184,0.75559264,46.02352,2.5092266,2.573347,0.7706568,20.18194,19.392803,5.442978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.84333
2.0,10.0,9.931429,2.5092568,0.0681695,0.20375505,0.1276545,0.17727977,0.0288297,0.9042295,48.206726,2.6460643,4.032855,0.91819215,21.69375,20.292356,5.506382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.31534
2.0,12.0,10.883192,2.5904174,0.07423009,0.25389174,0.1359842,0.3673375,0.043877527,0.905616,50.357536,2.9781387,5.475889,0.98545164,22.4038,22.25925,6.545286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.080086
2.0,14.0,10.957847,2.9360073,0.07876507,0.22304225,0.15153113,0.5345849,0.051873576,0.915303,53.585464,3.0018244,6.750382,1.0564764,23.48879,22.042408,6.706483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.09128
2.0,16.0,10.710278,2.9252477,0.08830182,0.25578842,0.15641345,0.696692,0.060770154,0.91711366,54.323975,3.027783,6.948012,0.9945817,23.747852,22.694893,6.641217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.3191
2.0,18.0,10.673185,2.689642,0.084069975,0.25210455,0.16862936,0.7535565,0.067041196,0.86165076,54.144173,3.0283277,6.8436384,1.0068574,23.313938,21.823122,6.5914607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.04369
2.0,20.0,10.471849,2.7534857,0.07798685,0.2617702,0.15816337,0.7504179,0.07081825,0.8744385,51.417175,2.9369676,6.5340667,1.1021129,22.509712,21.633068,5.91436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.621
2.0,22.0,10.097458,2.5028977,0.085624,0.24920371,0.15527236,0.7477943,0.071699284,0.8882725,50.355553,2.8690603,6.517847,0.970143,21.878202,21.781824,6.5300403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.123856
2.0,24.0,9.915143,2.6122034,0.07479977,0.2084431,0.15941034,0.7596647,0.07209235,0.8687525,48.04952,2.9677992,6.3442526,1.0287294,20.941158,20.802998,6.2683883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.236626
2.0,26.0,9.78868,2.4112608,0.08028481,0.25329006,0.15600218,0.74431205,0.071376614,0.86804426,47.07788,2.8381627,6.1374826,0.89228284,20.983665,19.659039,5.089616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.676773
2.0,28.0,9.225931,2.2547853,0.06643306,0.21848439,0.15157498,0.72710055,0.07358901,0.84846574,44.993217,2.7416897,5.904355,0.8956967,19.745453,19.068075,5.598152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.92134
2.0,30.0,8.729456,2.3762944,0.07001205,0.19752054,0.1450676,0.69463366,0.0683639,0.7093122,43.866707,2.7323568,5.5096474,0.8665853,19.062681,18.169731,5.054766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4701
2.0,32.0,8.061931,2.1062825,0.06329867,0.222139,0.14702438,0.6599586,0.070694424,0.7360988,40.886982,2.587694,5.4663067,0.79526883,17.918934,17.23693,4.98892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.84341
2.0,34.0,7.906363,2.1310565,0.060106326,0.17152816,0.1367506,0.64089197,0.06783315,0.6869576,39.815937,2.2995512,5.061109,0.70751184,16.953333,16.234583,4.5969872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.35491
2.0,36.0,7.246322,1.9146358,0.056338053,0.1500522,0.1256066,0.6310914,0.06433981,0.61320597,37.39944,2.1591263,4.8823643,0.74324095,16.626078,15.294102,4.424846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.597527
2.0,38.0,7.2478113,1.6495806,0.058025938,0.15972285,0.12247737,0.6419189,0.062401816,0.63466823,34.906723,1.9938374,4.6215734,0.6783091,15.23876,14.322373,4.456958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.39947
2.0,40.0,0.1306805,0.02742026,0.0011160017,0.0016029516,0.0027549234,0.013247489,0.0016480399,0.019889085,0.78837246,0.05169712,0.086769976,0.01120574,0.29362643,0.22296128,0.08968284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92856705
3.0,0.0,57.155903,8.532783,0.4020275,1.3174877,0.0,0.0,7.415185E-5,1.5483652,268.1522,9.2606125,0.7581676,4.34624,29.69231,83.0414,15.205977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.21545
3.0,2.0,32.368042,6.2956367,0.33890164,1.1497089,0.007457609,0.0,5.1781826E-5,2.468752,151.38136,10.670167,0.7285361,3.683608,15.912911,47.08826,9.367782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.96417
3.0,4.0,7.9136753,1.6817507,0.08189927,0.32195404,0.028231515,0.0,1.4210156E-5,0.57155013,39.42641,3.106153,0.28985682,0.7818097,4.1155467,11.507315,2.1714952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.393055
3.0,6.0,9.838899,2.0089426,0.098913364,0.34843576,0.0666784,0.0,1.08669465E-5,0.71184534,43.0031,3.2605054,0.91503924,1.053492,4.825859,13.163221,2.6591866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.71669
3.0,8.0,10.590295,2.2510326,0.113988824,0.3468929,0.14731207,0.0,1.3331429E-4,0.8542891,47.15381,4.104624,1.9948053,1.1479307,5.6775546,15.59927,3.1274097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.825485
3.0,10.0,11.02774,2.3203602,0.12555705,0.35034224,0.22275248,0.0,0.0031098246,0.8466305,51.082912,3.9609554,3.4686334,1.2549876,5.764048,15.4568,3.1198664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.56826
3.0,12.0,11.858439,2.4092762,0.11369903,0.26827443,0.24009973,0.0,0.013039208,0.956589,53.222378,4.0003896,4.9789386,1.2860086,6.0455465,16.657684,3.3601792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.06336
