"Distribution of the biomass (tonne) of prey species (in columns) in the diet of StripedBass by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,79.71642,9.691749,0.41812906,0.9424653,0.012912585,4.493625E-5,0.0024951473,4.1343656,127.30331,4.183034,1.962437,1.4827081,107.77735,14.119874,17.570084,0.0022563655,0.0013352147,0.0,1.941317E-8,1.0061751E-5,0.0,4.1927597E-5,0.0,1.0147069E-7,113.83272
1.0,2.0,59.680984,5.589232,0.20403145,3.881056,0.7861179,0.13320147,0.07043421,4.6878257,58.40578,5.665362,6.7854385,1.8876563,37.910748,15.135721,15.696174,0.032306638,0.012577901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9082355
1.0,4.0,38.895733,5.255589,0.1399373,3.5902781,1.6841927,0.38003212,0.15815692,3.4236555,25.028545,4.668945,8.066839,1.661785,8.493221,12.741393,11.246806,0.024769185,0.008542661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,21.081995,2.9164681,0.11000741,1.8931578,0.9003883,0.72263384,0.08758751,1.9173738,11.682101,2.6793802,6.396763,1.1997324,0.094848506,9.055605,5.88086,0.015871825,0.0051613566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,9.722924,1.3453543,0.051275164,0.8186291,0.43139234,0.49331817,0.039383102,0.8721908,4.707018,1.1098235,4.0166993,0.97974515,0.0,4.2114387,2.6616013,0.01246336,0.0038862014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,4.8048296,0.750259,0.03391022,0.39076158,0.24626225,0.272329,0.021477018,0.5417263,2.1196234,0.657306,2.3442612,0.56374174,0.0,2.1215055,1.3231555,0.008687659,0.003298721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,2.4419172,0.30197892,0.021394674,0.19188848,0.10099611,0.15413423,0.012360691,0.27294254,1.0085874,0.30621186,1.3539184,0.24910483,0.0,0.9833387,0.6353697,0.0041906834,0.001984425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,14.0,1.1439334,0.15374972,0.008365222,0.08171387,0.06531628,0.050670553,0.007846827,0.1129804,0.49331143,0.17695759,0.66254056,0.1200543,0.0,0.5431518,0.29932413,5.2075856E-4,2.1735799E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.6770228,0.07633668,0.004691057,0.042464614,0.033971548,0.03541304,0.0031418838,0.06992706,0.2639127,0.09208692,0.39692184,0.061860222,0.0,0.24436043,0.15717983,4.6850333E-4,1.3824657E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.35908064,0.041694544,0.0026511573,0.024615226,0.019392652,0.017894875,0.0014643924,0.032178372,0.1419114,0.050390013,0.22287838,0.037291422,0.0,0.13820796,0.108975105,0.0022289215,9.2858815E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
