"Distribution of the biomass (tonne) of prey species (in columns) in the diet of SkateRays by Size class (cm). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,0.02270696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8960723E-4,0.0,5.7752E-6,0.0,0.0,0.0,4.6372435E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8091254
1.0,10.0,1.1148814,0.9894128,0.012170104,0.07585428,0.0,7.9046316E-8,1.0109026E-4,0.043472152,10.101124,0.1130731,6.7632296E-4,0.050268106,13.589386,0.8999858,2.1778932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0022
1.0,20.0,7.39131,6.13001,0.13171016,0.48584867,0.0,1.1010091E-7,0.0012149195,0.63097095,82.15758,1.7054659,0.012540715,0.35620934,59.726387,10.44411,12.389252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.34268
1.0,30.0,29.044907,11.720725,0.20946284,0.9013358,0.0,0.0010323796,0.0030006447,1.4144559,147.33215,2.8299563,0.082089014,0.69060814,88.97248,16.827612,18.20752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.30112
1.0,40.0,74.042786,22.477285,0.36485085,2.2110786,0.21107394,0.09401843,0.024711834,3.24844,257.277,6.0925207,0.5304096,1.6729559,145.66031,41.466118,38.038605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.98956
1.0,50.0,57.247253,18.61399,0.27932787,2.0770268,0.58501965,0.18592037,0.047234524,3.0082517,181.5413,5.482855,0.61305016,1.3644822,99.67777,36.56505,30.18087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.86203
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
