"Distribution of the biomass (tonne) of prey species (in columns) in the diet of WinterFlounder by Size class (cm). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,0.0,0.0,0.003154604,0.22697698,0.0,0.0,0.0,8.8598754E-5,0.05925723,0.0,0.0,0.0040657963,0.010779075,0.0,0.048509818,0.009687469,0.0,0.0,0.0,4.8451433,0.0,0.0,0.0,0.0,32.427975
1.0,10.0,0.08948998,0.18732727,0.20197128,1.0418401,0.0,0.0,0.0,0.0085451575,2.1233604,0.11725764,0.06765104,0.04766319,0.8916048,0.41985264,0.6501645,0.0,2.7768122E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.98014
1.0,20.0,0.451728,0.28951934,0.033657555,0.057435486,0.0,1.7090066E-5,0.006139539,0.15569921,2.2957444,0.082315035,0.06980275,0.11210384,5.0675926,0.25302282,0.4208481,0.001246994,2.6809037E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9309335
1.0,30.0,0.37573597,0.09462969,0.0130554065,0.020069012,0.0,1.3764059E-5,0.02317813,0.11174014,1.4694624,0.18856008,0.02191574,0.020146323,2.329297,0.12236902,0.08147981,0.0019549462,5.7990153E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.27729782,0.026180254,0.01940947,0.05956529,0.0,1.3596914E-5,0.013779099,0.057217624,0.42114916,0.090143,0.15218835,0.052539375,0.35601786,0.058892135,0.012229428,0.0034195741,1.3023017E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0017202415,0.05906294,0.0,0.0,0.0,0.0,0.059439003,0.0,0.0,2.3971627E-9,0.41534355,0.0,0.0,0.0013319947,0.0,0.0,0.0,2.3956788,0.0,0.0,0.0,0.0,19.344799
2.0,10.0,0.5523303,0.42259032,0.30323848,0.166111,0.0,0.0,4.075897E-5,0.04518853,5.497373,0.13835767,0.21983424,0.19664778,7.0471706,2.9819849,1.8968647,5.831839E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.319553
2.0,20.0,0.9451048,0.93939066,0.0034842894,0.10083733,0.0,0.0,0.0,0.01523221,4.209901,0.58331716,0.19086707,0.051158372,1.9798352,1.9218497,0.8714184,1.855594E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.00226
2.0,30.0,0.20940913,0.042304017,0.0018309228,0.02626256,0.0,0.0,1.4386298E-4,0.02447269,1.4110457,0.039028145,0.0,0.02608746,0.64399,0.41767386,0.20410104,5.9237103E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
