"Mean Trophic Level of fish species, weighted by fish biomass, and excluding first ages specified in input"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,3.4827003,3.7464833,4.2446384,4.3615966,4.2361584,4.752446,5.1278634,4.02678,3.7690783,4.3064437,4.1460733,4.6643257,3.3430407,3.641539,3.5270417,3.7297137,4.164299
2.0,3.3825276,3.7536225,4.218088,4.0931196,4.3444285,5.051024,5.3487897,3.795311,4.4307723,3.9781048,4.2958503,4.070268,3.2959588,3.6012278,3.6213784,3.8509178,4.329084
3.0,3.3772337,3.8183467,4.0606155,3.845884,4.2882156,5.099284,5.274223,3.7396004,4.4451675,3.8844237,4.273345,4.060416,3.2960465,3.6014738,3.8057425,3.7187579,NaN
4.0,3.3873057,3.7867167,4.0693073,3.8092313,4.2098026,5.034739,5.194846,3.8410451,4.4355884,3.9301906,4.212683,4.3507166,3.3014886,3.6007535,4.081149,3.6842926,NaN
5.0,3.3998668,3.7670832,4.0603976,3.790532,4.177764,5.0083013,5.1659594,3.8328748,4.4526544,4.0169945,4.1980777,4.0937514,3.3037076,3.610152,4.049205,3.6790428,NaN
6.0,3.4192913,3.7962077,4.0653286,3.793809,4.1777005,4.9954057,5.1581573,3.7943876,4.457181,4.011466,4.196197,4.0476007,3.3024518,3.6171935,3.9592166,3.9068239,NaN
7.0,3.4130871,3.8122416,4.1034136,3.7853603,4.1912975,5.0236197,5.171108,3.80223,4.449351,3.968227,4.203058,4.2011566,3.3026557,3.6106496,4.068688,NaN,NaN
8.0,3.3932679,3.790791,4.100438,3.8019438,4.2003517,5.0269594,5.1865826,3.8939993,4.461926,3.9407659,4.2083025,4.1150284,3.3049777,3.616724,4.068848,NaN,NaN
9.0,3.3842735,3.819121,4.1097345,3.796859,4.223591,5.0377564,5.2152452,3.8882794,4.4570026,3.9589937,4.2280807,4.140379,3.3047187,3.619246,3.8370152,NaN,NaN
10.0,3.3967505,3.7975707,4.1337147,3.8180466,4.234109,5.0662246,5.2336617,3.8175628,4.452453,4.0510607,4.23332,4.2423706,3.3059573,3.5922391,3.8468926,NaN,NaN
11.0,3.3968396,3.790429,4.188651,3.8218608,4.2174673,5.071486,5.2254324,3.8529606,4.4410553,4.072822,4.2219677,4.2225604,3.3061686,3.5997078,3.8413887,NaN,NaN
12.0,3.3840687,3.760463,4.1514626,3.8439353,4.183137,5.0388713,5.200639,3.7958832,4.4504933,4.0530286,4.195922,4.171369,3.310399,3.6276593,3.870481,NaN,NaN
13.0,3.4031236,3.7946813,4.153412,3.837846,4.1984277,5.0566545,5.2098,3.8266296,4.45504,3.9581952,4.204383,4.139038,3.3069873,3.6059425,3.9096243,NaN,NaN
14.0,3.3860965,3.7690575,4.182154,3.8380895,4.1922493,5.0563316,5.2151093,3.897529,4.4440312,3.9657238,4.207343,4.3319383,3.306326,3.6115026,3.861811,NaN,NaN
15.0,3.393965,3.8143444,4.1678834,3.8484206,4.192402,5.0847173,5.207856,3.8632102,4.4594755,3.9939926,4.2107697,4.1761827,3.3061178,3.600579,3.8466158,NaN,NaN
16.0,3.3931708,3.8023336,4.174617,3.8474345,4.19116,5.083569,5.2090583,3.8824167,4.448416,4.0148854,4.2122326,4.2221646,3.3055727,3.620976,3.8779263,NaN,NaN
17.0,3.399126,3.8099759,4.130063,3.848704,4.1798816,5.0800195,5.1997557,3.8750596,4.458088,4.009903,4.207265,4.162701,3.3052444,3.58401,3.8551052,NaN,NaN
18.0,3.406114,3.7903054,4.202444,3.8396835,4.188942,5.105211,5.2052464,3.8956757,4.4503818,4.022162,4.2236595,4.2432103,3.3044367,3.595809,3.9314802,NaN,NaN
19.0,3.387743,3.7755375,4.1732407,3.8152416,4.122271,5.0538964,5.1462493,3.9972723,4.451559,3.9990857,4.1646028,4.196437,3.3065252,3.6266074,3.8744917,NaN,NaN
20.0,3.400311,3.7897794,4.1756682,3.825908,4.11055,5.0598545,5.1225038,3.8826947,4.467715,3.9820194,4.164674,4.128379,3.3045046,3.6262543,3.8763568,NaN,NaN
