"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,0.0,0.9786656,9.188355,1.604814,2.1838703,31.202686,35.762,3.0311925,2.5471225,1.7979037,4.1481705,19.494785,5.234687,1.0998431,1.563063,1.4999235,2.41695,7.59512
1.0,2.0,17.515373,33.920345,30.636053,20.072834,52.743988,52.96314,38.467785,36.015392,NaN,33.04265,32.195873,32.274574,NaN,34.67195,23.369123,12.300599,22.817184
1.0,4.0,24.08214,38.537678,40.086445,25.69878,65.094734,70.10128,60.7042,43.479427,NaN,46.669857,41.202946,39.796406,NaN,37.17956,27.477776,16.341557,NaN
1.0,6.0,27.210165,40.457176,46.7126,29.881908,75.098625,80.54833,78.22842,45.01333,NaN,55.16355,46.96019,42.669674,NaN,38.19608,29.01333,19.85781,NaN
1.0,8.0,28.947405,41.31962,50.663567,32.825783,83.236244,87.79221,92.987656,45.381855,NaN,61.149338,50.7903,43.917587,NaN,NaN,29.567732,22.479692,NaN
1.0,10.0,29.877455,41.698345,NaN,34.87099,89.94061,92.4861,104.739075,45.472027,NaN,65.143456,53.33879,44.459248,NaN,NaN,29.745604,24.809225,NaN
1.0,12.0,30.382019,41.865044,NaN,36.212887,95.38808,95.6277,114.401695,45.49299,NaN,67.9032,54.57127,44.70258,NaN,NaN,NaN,26.61017,NaN
1.0,14.0,30.626,41.938675,NaN,37.09766,99.850044,97.73812,122.378685,45.498196,NaN,69.81842,NaN,NaN,NaN,NaN,NaN,28.096033,NaN
1.0,16.0,NaN,41.97309,NaN,37.69418,103.50001,99.15585,128.95963,45.499283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,18.0,NaN,NaN,NaN,38.09226,106.456215,100.09288,134.31366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,20.0,NaN,NaN,NaN,NaN,108.93609,100.72235,138.7067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,22.0,NaN,NaN,NaN,NaN,110.941154,101.14296,142.31729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,24.0,NaN,NaN,NaN,NaN,112.583145,101.42574,145.28542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,26.0,NaN,NaN,NaN,NaN,113.92739,101.60778,147.66077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,28.0,NaN,NaN,NaN,NaN,115.02855,101.74043,149.80702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,30.0,NaN,NaN,NaN,NaN,115.92982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,32.0,NaN,NaN,NaN,NaN,116.6672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,34.0,NaN,NaN,NaN,NaN,117.271454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,36.0,NaN,NaN,NaN,NaN,117.76638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,38.0,NaN,NaN,NaN,NaN,118.17103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,0.0,1.699835,14.156289,1.828468,2.9856393,33.49117,46.338436,2.20662,2.8211267,2.9868312,5.895673,22.598917,10.458406,1.8296609,2.89213,2.8726754,5.7348647,NaN
2.0,2.0,15.925765,32.411583,34.62661,22.608349,51.282345,54.23812,43.003307,26.993345,NaN,30.463665,34.236317,32.96679,NaN,25.842962,21.693083,9.471071,23.66758
2.0,4.0,20.592083,37.99682,40.77119,26.385126,64.32933,72.662415,60.726276,42.080357,NaN,46.409737,43.193268,40.94518,NaN,36.47452,27.05609,15.601073,NaN
2.0,6.0,26.464695,40.330185,46.944393,30.0864,74.50193,83.17384,78.6937,44.650673,NaN,55.20113,48.52851,43.31466,NaN,37.923176,28.854378,20.23904,NaN
2.0,8.0,28.478613,41.243565,50.82583,32.921265,82.73557,89.67158,93.242,45.287685,NaN,61.3797,51.9509,44.252457,NaN,NaN,29.51298,22.398016,NaN
2.0,10.0,29.634466,41.676186,NaN,34.946842,89.51097,93.86203,105.10284,45.452038,NaN,65.487404,54.157356,44.61423,NaN,NaN,29.735796,24.726997,NaN
2.0,12.0,30.22966,41.85185,NaN,36.277405,95.04052,96.57661,114.706985,45.488018,NaN,68.177765,55.214863,44.77481,NaN,NaN,NaN,26.470938,NaN
2.0,14.0,30.54501,41.935738,NaN,37.14594,99.56185,98.37322,122.6053,45.496956,NaN,70.0532,NaN,NaN,NaN,NaN,NaN,28.081963,NaN
2.0,16.0,NaN,41.97077,NaN,37.724,103.26301,99.6102,129.1721,45.499233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,18.0,NaN,NaN,NaN,38.120068,106.180595,100.389275,134.49387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,20.0,NaN,NaN,NaN,NaN,108.77455,100.92597,138.86012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,22.0,NaN,NaN,NaN,NaN,110.8105,101.28043,142.44536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,24.0,NaN,NaN,NaN,NaN,112.47628,101.52024,145.3904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,26.0,NaN,NaN,NaN,NaN,113.83919,101.67616,147.81029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,28.0,NaN,NaN,NaN,NaN,114.95603,101.78315,149.7427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,30.0,NaN,NaN,NaN,NaN,115.870186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,32.0,NaN,NaN,NaN,NaN,116.61881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,34.0,NaN,NaN,NaN,NaN,117.231766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,36.0,NaN,NaN,NaN,NaN,117.733536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
