"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,2875.6445,972.2282,4.4281244,40.30216,1684.9731,47.071186,11.400716,96.870865,754.69257,259.85403,331.44388,955.6056,1231.9674,826.7714,36.37178,0.0,0.0
2.0,335.95743,135.7974,3.416356,5.5873327,1026.8307,79.64927,14.47091,16.841122,582.26764,80.09978,368.6881,144.9135,59.71526,222.43599,4.8024125,0.0,0.0
3.0,131.46626,84.99087,1.1040562,0.34242207,698.67523,99.30814,23.0444,0.76344043,483.4927,26.633223,381.37714,4.6918316,12.2434435,23.68043,0.15907674,0.0,0.0
4.0,26.304802,9.252574,0.07069962,0.009177464,312.46576,112.354385,14.586778,0.022873601,104.22635,5.81688,666.0833,118.318436,19.65341,9.112718,8.863584E-4,0.0,0.0
5.0,19.428886,2.907126,9.417449E-4,3.1602758E-6,326.2246,143.40913,20.58044,2.2730095E-5,166.45764,1.0483265,383.52643,83.31645,16.04479,8.033267,0.0,0.0,0.0
6.0,34.821568,5.582067,0.0,0.0,227.00781,103.24384,14.567487,0.0,375.09552,0.24929734,461.0835,53.01362,9.716814,17.050947,6.7465904E-4,0.0,0.0
7.0,60.682858,1.4381657,0.32924613,0.023310598,232.16791,91.12702,18.449074,0.0,163.0712,8.30304,507.7005,127.946465,6.9739933,15.787099,0.010889583,0.0,0.0
8.0,61.550976,5.1976466,0.9529056,0.2023424,252.5989,54.662758,23.174376,5.687873E-4,130.08224,4.8589554,287.32278,86.03506,3.1613467,13.404247,0.0084286,0.0,0.0
9.0,72.39718,4.3308787,1.1959811,0.2595687,182.3354,51.221394,28.533249,0.3616563,159.24321,4.5440364,364.79138,49.65914,7.4724636,6.178612,0.0024718596,0.0,0.0
10.0,87.10179,4.8466887,3.096584,0.31833228,196.51096,41.52096,14.600153,0.013242078,170.07182,3.433722,318.39948,255.54224,6.3120527,16.343895,0.0074370406,0.0,0.0
11.0,75.67308,1.1709924,6.2513776,0.5311371,130.78084,41.230953,22.562675,0.05126594,69.785774,4.102477,275.35168,83.93898,5.064651,8.3547,0.003432529,0.0,0.0
12.0,74.71067,2.5991895,3.6388333,0.50973403,181.8639,36.011726,13.146843,0.03182292,134.89282,8.117491,358.45187,81.09286,9.888714,3.8716543,0.0011017628,0.0,0.0
13.0,76.2922,1.0258467,4.680926,0.8629535,171.42638,29.81377,21.009956,0.01785204,122.1959,5.518204,112.01366,206.95525,7.1911235,10.254233,0.0019238961,0.0,0.0
14.0,92.08623,1.3896013,4.780076,1.7107391,141.67172,36.8107,22.89104,0.06115443,87.17543,4.8281236,111.72671,107.35686,7.9611692,3.9219804,0.001738538,0.0,0.0
15.0,55.131878,1.2566425,4.0624223,2.0101817,184.56421,23.284979,15.247115,0.18284234,178.37262,4.491921,126.437355,137.87125,31.913992,5.5747614,0.0041483897,0.0,0.0
16.0,52.723373,2.598119,3.0582187,1.9830537,114.4358,17.389631,14.098422,0.07299659,151.35832,7.2372775,166.61566,200.23717,19.649801,3.10076,0.0054384326,0.0,0.0
17.0,53.073032,2.3421407,3.3901992,1.4288965,131.75435,18.260586,11.127002,0.03313404,192.29146,5.8953104,156.44821,102.15356,12.851198,12.7554,0.018088141,0.0,0.0
18.0,62.6626,1.2325658,4.7109165,1.3491019,102.278885,18.197819,15.244498,0.0076955473,143.55908,5.80068,108.98131,63.985245,24.123158,12.292896,0.0136629045,0.0,0.0
19.0,53.85727,1.3211231,4.095395,1.1837292,75.65692,13.993984,22.319046,0.026178801,211.40443,4.247359,102.82928,70.04025,14.88651,9.5173025,0.012444516,0.0,0.0
20.0,29.732277,2.2296052,4.5037427,2.009925,93.59945,11.827469,17.390902,0.0050427266,177.8588,3.6198838,100.27748,70.18233,25.767826,10.638571,0.016624374,0.0,0.0
