"Distribution of fish species biomass (tonne) by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,0.0,1141.331,1352.729,24.725422,71.881294,0.0,1.7980314E-4,0.09932911,3915.6152,96083.12,733.71576,0.86571115,173.1853,61530.99,53446.31,29492.484,0.8947822,0.0062321816
1.0,10.0,9731.5,4234.203,2.4010837,60.060852,0.0,3.950706E-4,0.17360492,192.11948,73776.414,1189.9366,152.72742,30.442968,0.0,22306.383,1639.2546,0.14059068,0.041117586
1.0,20.0,4290.4478,6126.6074,5.193408,286.0904,118.64458,66.599045,9.490272,321.84998,652.02484,662.2425,941.44385,107.511475,0.0,5443.9854,1806.197,0.5221312,0.06985206
1.0,30.0,106.255684,5118.9087,17.907593,288.14093,286.35886,241.47577,24.76649,161.17601,0.0,409.3352,1795.867,201.27933,0.0,3753.415,0.0,0.0,0.0
1.0,40.0,0.0,328.31702,23.587275,0.0,142.24414,523.54047,29.83335,98.59822,0.0,382.58548,3599.1216,318.27884,0.0,0.0,0.0,0.0,0.0
1.0,50.0,0.0,0.0,6.641099,0.0,197.25902,295.53165,33.850597,0.0,0.0,435.4259,2921.0964,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,291.99622,327.61606,38.29385,0.0,0.0,404.95612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,492.50867,244.32529,36.787373,0.0,0.0,22.993742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,765.43854,215.19048,35.448017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,1305.3248,121.67444,37.661705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,2270.49,8.190451,36.174313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,4800.694,0.0,29.376364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,26.279335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,23.797634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,15.986268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52040976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,4367.9907,575.91815,31.40543,341.42435,0.0,4.1550378E-4,0.13560252,699.3072,56965.47,653.4726,0.0,89.31867,28041.227,148341.58,19801.287,24.197113,0.0
2.0,10.0,4817.9736,15054.165,35.200527,57.927094,0.0,7.6168304E-4,0.0,2170.858,130527.72,7002.8867,34.182343,1057.023,0.0,149727.94,13711.768,9.2941715E-5,0.0
2.0,20.0,487.24057,25889.629,0.054998346,68.930954,258.1457,0.0,0.008340911,494.87466,287.14697,2063.0706,649.05194,29.678917,0.0,1122.3898,182.30934,0.03543436,5.7288915E-5
2.0,30.0,3.624826,3062.1333,8.569216,66.10677,669.888,1.753514E-4,12.290335,26.21453,0.0,284.0173,2214.274,15.307579,0.0,466.1097,0.0,0.0,0.0
2.0,40.0,0.0,81.192184,19.156193,0.0,512.2662,756.9169,31.449835,8.06783,0.0,128.09709,3934.7468,25.617533,0.0,0.0,0.0,0.0,0.0
2.0,50.0,0.0,0.0,4.406165,0.0,201.09683,1115.5548,48.678806,0.0,0.0,167.40404,3710.3623,0.0,0.0,0.0,0.0,0.0,0.0
2.0,60.0,0.0,0.0,0.0,0.0,312.90417,424.4423,53.954014,0.0,0.0,200.02997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,70.0,0.0,0.0,0.0,0.0,440.5445,482.8391,57.244347,0.0,0.0,16.594334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,80.0,0.0,0.0,0.0,0.0,740.7543,390.17087,51.912895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,90.0,0.0,0.0,0.0,0.0,1207.7207,195.47098,51.66411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,100.0,0.0,0.0,0.0,0.0,1948.7942,12.452415,46.544807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,3463.302,0.0,38.697613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,32.75382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,27.942759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,19.76888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60920715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,5465.982,339.5116,46.221428,279.23373,0.0,0.0012661022,0.21361622,201.6855,46919.555,488.9159,0.0,57.08064,5476.549,33948.98,550.09906,27.152233,0.0
3.0,10.0,2242.635,8069.1807,65.98555,564.7131,0.0,0.019813875,0.0074222228,1703.032,81579.83,5745.1514,62.207775,400.35175,0.0,25372.162,7632.8022,0.6749845,0.0
3.0,20.0,202.70697,26060.44,26.82676,3.118962,169.2819,0.006202539,0.0,1155.4934,38.990837,6049.796,36.824486,451.36526,0.0,154.43735,104.81284,2.4532087E-4,0.0
3.0,30.0,0.05960065,1096.2708,0.49578744,6.9065943,625.1283,0.0,0.0034732712,1.6883591,0.0,162.13177,2023.4525,0.51108056,0.0,32.23492,0.0,0.0,0.0
3.0,40.0,0.0,13.539339,7.309885,0.0,1286.0841,0.0,11.935976,0.49005356,0.0,38.401592,4120.7056,0.40503338,0.0,0.0,0.0,0.0,0.0
3.0,50.0,0.0,0.0,1.9905896,0.0,351.80798,798.8617,35.085693,0.0,0.0,60.98896,4626.9937,0.0,0.0,0.0,0.0,0.0,0.0
3.0,60.0,0.0,0.0,0.0,0.0,306.43738,1010.5109,65.01069,0.0,0.0,83.36061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,70.0,0.0,0.0,0.0,0.0,439.0853,505.64893,75.44936,0.0,0.0,7.888823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,80.0,0.0,0.0,0.0,0.0,682.0227,482.41202,74.88707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,90.0,0.0,0.0,0.0,0.0,1146.0581,348.63245,75.03695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,100.0,0.0,0.0,0.0,0.0,1743.8855,21.27652,59.025833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,110.0,0.0,0.0,0.0,0.0,2600.251,0.0,50.96467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,41.756313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,32.214203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,24.160786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84768236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,3238.259,203.21724,46.892094,163.36319,0.0,0.0012480554,0.57270586,117.03319,39799.414,169.99184,0.0,255.58046,3944.4456,3041.7737,41.583138,1.0757655,0.0
