"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,3.0196095666199065,6.211304439165434,0.3395892728541446,0.0,0.23815471577966724,0.6766926507024335,0.031286168731574505,0.0026250846605610076,0.0027855610345990664,0.0,0.0,1.682842423962535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01699840832285389,0.0,0.0,0.020169722350972565,
2.0,1.8698921822719712,2.860404855676913,0.8448373722048051,0.0,0.7676564333538748,0.6668897960263297,0.02589106687616694,0.0027036858269387652,0.0027783718949411463,0.0,0.0,2.9212429946141456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02950750499610248,0.0,0.0,0.009020367827401676,
3.0,1.1462449568693498,4.071610898807638,1.9897885787938279,0.0,0.4687942355709282,0.5564666912320188,0.024602254419946578,0.0026669013956172713,0.002697948690014214,0.0,0.0,2.500614803982767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025258735393765327,0.0,0.0,0.004433994673196122,
4.0,0.5634109047217366,3.567985007548121,0.5691418182264454,0.0,0.2288788893563788,1.1749068939589564,0.023593779428004707,0.002697646396731018,0.0027848430342369756,0.0,0.0,0.937978849818882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009474533836554364,0.0,0.0,0.0,
5.0,0.46034177922307484,2.0749185395630096,2.1791917464626516,0.0,0.8068243680928169,0.9301168774462356,0.023413902834614284,0.0027277069520636665,0.002778774991320577,0.0,0.0,4.594567815051221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04640977590960828,0.0,0.0,0.0,
6.0,0.6135240035270657,3.806737044541916,0.6182220919212433,0.0,0.6272817307208111,0.7535620919754169,0.023678619739194755,0.002689383843247872,0.0027850578397796257,0.0,0.0,1.5964714352585436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01612597409352064,0.0,0.0,0.0,
7.0,0.7296474188807639,3.6754034254856855,0.5578409206348466,0.0,0.2684839231934718,1.016813002993854,0.02387889271278275,0.0027006373352187795,0.0027846299149388984,0.0,0.0,1.2614280332031331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01274169730508215,0.0,0.0,0.0,
8.0,0.6231281118783689,3.3355167791904723,0.9009964675569676,0.0,0.53932840319696,0.8426891585996362,0.023690466268152313,0.0026982874062397313,0.002784520074608057,0.0,0.0,1.9167653931789854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019361266597767535,0.0,0.0,0.0,
9.0,0.6047512849829613,3.8715016115009107,0.6841909706181925,0.0,0.4270159856934065,0.9267323716330168,0.023661052481478418,0.0026890795179651686,0.0027839957604759076,0.0,0.0,1.0824564650919433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010933903687797404,0.0,0.0,0.0,
10.0,0.6734028092944129,3.603425015332274,0.5460680331197338,0.0,0.3554910541032085,0.9321056880910158,0.02378315132791679,0.0026984029162830272,0.002784524045107572,0.0,0.0,3.454465807679609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03489359401696574,0.0,0.0,0.0,
11.0,0.4513114630976219,3.4825749492685496,0.5520132538472684,0.0,0.5442570523264398,1.0674460840509383,0.02339762642760235,0.0026883392967226236,0.002783899661742124,0.0,0.0,1.773560676146767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0179147543045128,0.0,0.0,0.0,
12.0,0.4999060048799631,3.8055220003681227,0.4297710917057641,0.0,0.4762923041826208,1.1565445369854188,0.02348113719692961,0.002686593330617198,0.0027848681185701735,0.0,0.0,1.9644780779767057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019843212908855615,0.0,0.0,0.0,
13.0,0.6633493211078969,3.838800264634211,0.3932295916013995,0.0,0.35202579599535444,1.1779640443585928,0.023761872957943877,0.0026899828971609723,0.0027838578652898357,0.0,0.0,3.6269343601459934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03663570060753529,0.0,0.0,0.0,
14.0,0.7706326161230099,3.5974832588610384,0.41873485402113336,0.0,0.3785485314593824,1.0998566762929423,0.023949030466516003,0.002703955543779262,0.0027851185318483983,0.0,0.0,2.096362634136011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021175380142787987,0.0,0.0,0.0,
15.0,0.6674244373257991,4.048915868620118,0.3661411012262448,0.0,0.4266231072444122,0.9222087329780448,0.023771162659576864,0.0026826379999799975,0.002784577357134031,0.0,0.0,2.141961608204122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021635975840445677,0.0,0.0,0.0,
16.0,0.5848962717999774,4.171902434746261,0.4435239966934341,0.0,0.4003415705383642,1.0453112639109527,0.02362840808448377,0.0026893563627114194,0.002784219695880028,0.0,0.0,3.1855288128283354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03217705871543773,0.0,0.0,0.0,
17.0,0.538475890167237,4.093225532733192,0.5568312379344271,0.0,0.3686959002981894,0.918966576007326,0.02354650123211582,0.002692428857081974,0.002784901884826023,0.0,0.0,1.8744311090604813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018933647566267486,0.0,0.0,0.0,
18.0,0.5615457456571578,4.245956980016079,0.6059805696173068,0.0,0.3704901789617927,1.0575846880489408,0.023585858163854893,0.0026874247848904485,0.002785444242667314,0.0,0.0,1.1466664881976472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011582489779774215,0.0,0.0,0.0,
19.0,0.5978267329951659,4.387500711471183,0.6932299640721165,0.0,0.34147048723873186,0.9680348566065975,0.023650350216010297,0.0026884427854945237,0.0027849123782444835,0.0,0.0,1.5203743247975223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015357316412096186,0.0,0.0,0.0,
20.0,0.608926601170499,4.301200819627561,0.6853115971499922,0.0,0.2864011968577894,1.0078610467779616,0.023667757997062024,0.002688951946562518,0.0027851161435666614,0.0,0.0,1.7726011693126882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01790506231628978,0.0,0.0,0.0,
