"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
1.0,0.0,0.7185894,0.0,58.83195,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.29299712,0.0,0.0024258702,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.21429048,0.0,0.0024074472,8.770978E-5,0.0,0.0,8.859573E-7,0.0
1.0,6.0,0.17212945,0.0,0.0024059068,0.057449922,0.0,0.0,5.803022E-4,0.0
1.0,8.0,0.14979613,0.0,0.0024036088,0.06626678,0.0,0.0,6.6936144E-4,0.0
1.0,10.0,0.13976166,0.0,0.0024037645,0.06648557,0.0,0.0,6.715714E-4,0.0
1.0,12.0,0.15163389,0.0,0.0027264233,0.07529479,0.0,0.0,7.6055346E-4,2.1020133
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.3066641,0.0,83.92127,0.0,0.0,0.0,0.0,0.0
2.0,2.0,0.30071288,0.0,0.0024401597,0.0,0.0,0.0,0.0,0.0
2.0,4.0,0.22406141,0.0,0.0024121604,0.011001705,0.0,0.0,1.11128335E-4,0.0
2.0,6.0,0.16518565,0.0,0.0024082926,0.06110745,0.0,0.0,6.1724696E-4,0.0
2.0,8.0,0.14077304,0.0,0.00240253,0.061025225,0.0,0.0,6.1641645E-4,0.0
2.0,10.0,0.13037607,0.0,0.002403279,0.060942408,0.0,0.0,6.155799E-4,0.0
2.0,12.0,0.14379783,0.0,0.0027263572,0.06842987,0.0,0.0,6.9121085E-4,2.1058023
2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.3455164,0.0,95.30233,0.0,0.0,0.0,0.0,0.0
3.0,2.0,0.22932982,0.0,0.0023463282,0.0,0.0,0.0,0.0,0.0
3.0,4.0,0.25618646,0.0,0.002418148,0.022131788,0.0,0.0,2.2355342E-4,0.0
3.0,6.0,0.19155256,0.0,0.0024058395,0.054699488,0.0,0.0,5.525201E-4,0.0
3.0,8.0,0.1738828,0.0,0.0024041987,0.054793898,0.0,0.0,5.534737E-4,0.0
3.0,10.0,0.16178684,0.0,0.0024024856,0.054605197,0.0,0.0,5.5156765E-4,0.0
3.0,12.0,0.17699106,0.0,0.0027258382,0.06177933,0.0,0.0,6.240337E-4,2.1044066
3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
