"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
1.0,0.0,3.8200839,1.4376316,0.58508873,2.6562604E-6,0.0,0.0,2.6830913E-8,0.0
1.0,2.0,0.27638867,2.0005593,0.008109928,0.40954718,0.0,0.0,0.0041368403,0.0
1.0,4.0,0.15560861,2.0153923,0.00781265,0.4059391,0.0,0.0,0.004100395,0.0
1.0,6.0,0.12606718,1.9768888,0.0077536847,0.40335828,0.0,0.0,0.0040743263,0.0
1.0,8.0,0.12230207,2.07912,0.0077504967,0.40430146,0.0,0.0,0.004083853,0.0
1.0,10.0,0.1151223,1.8939518,0.0076854257,0.39699295,0.0,0.0,0.0040100296,0.0
1.0,12.0,0.13138226,1.9805703,0.0077142646,0.40125918,0.0,0.0,0.004053123,0.0
1.0,14.0,0.12984012,1.9901718,0.007712542,0.41829342,0.0,0.0,0.004225186,0.0
1.0,16.0,0.2843493,2.9735723,0.012777326,0.6958349,0.0,0.0,0.007028635,16.90556
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
