"Mean size of fish species in cm, weighted by fish numbers, and excluding first ages specified in input"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,11.719421,14.048749,6.1339083,9.7089205,68.79039,41.365387,43.07948,4.10162,1.9106854,10.387375,32.437984,13.698307,2.3477218,2.458588,3.470405,2.6029124,8.857661
2.0,2.6761897,18.116852,6.825038,6.4702306,53.770473,55.099716,60.27028,6.187767,8.335892,13.94421,38.41435,12.272972,1.7541102,4.8616166,5.7106843,5.7723255,23.66758
3.0,3.6088903,19.425402,8.815618,8.666898,52.63081,65.29031,72.216606,12.180502,6.339077,15.777549,42.469887,17.598497,2.3774447,6.856526,11.035278,8.406101,NaN
4.0,5.1581807,18.671185,6.443711,11.139504,55.921535,73.57591,61.87171,13.631349,5.050502,17.631094,44.650143,13.094095,2.893093,6.4450793,13.968572,10.762046,NaN
5.0,8.415159,17.421263,4.8180046,6.93082,58.06033,80.153145,40.718777,16.005318,6.7407494,17.792757,44.77338,13.085751,2.8081396,5.2459393,10.592653,12.867503,NaN
6.0,6.935352,18.056889,4.8017726,5.105196,58.24384,86.02787,43.73092,19.149506,10.411727,15.586611,43.559406,17.5417,2.5870667,4.9035463,11.199412,2.5407872,NaN
7.0,4.544086,19.112144,3.9182782,4.453076,57.962925,91.10153,41.923,21.233023,8.544795,17.72366,41.99762,14.034643,2.5345712,5.3830705,12.91375,4.9104295,NaN
8.0,4.6875205,17.680632,3.4625883,3.9074512,57.947426,94.91496,48.955944,13.090909,6.5405836,17.024801,40.943768,13.488453,2.690228,5.638267,9.75499,6.3942456,NaN
9.0,4.7199726,16.526857,3.9766164,3.3469586,58.264175,98.17906,53.896362,13.053296,7.9726954,17.84647,39.89551,15.875336,2.8864436,5.0692306,10.389689,7.490335,NaN
10.0,5.0118585,16.778334,3.853622,2.7193468,58.62912,101.183784,71.84673,13.460685,8.588705,15.941976,39.636047,13.610363,2.9754076,5.1637044,10.441791,8.492522,NaN
11.0,5.773777,18.118044,3.947357,2.4743612,56.139725,103.09025,71.45973,13.423172,8.510058,16.52136,39.155098,13.31692,2.8729897,6.2222114,12.682039,2.3197203,NaN
12.0,5.3670278,19.436403,3.6881735,2.3143232,51.96585,104.07468,64.57989,14.755497,9.677062,17.534067,38.26329,15.277521,2.9443405,5.199955,12.289615,0.9536076,NaN
13.0,5.463798,18.739803,3.7143464,2.4501476,50.14696,106.0226,46.373676,13.045477,9.985222,17.699642,35.54517,14.799703,2.878529,4.872654,12.787272,0.8563513,NaN
14.0,4.697921,17.10144,4.007901,2.480378,50.311085,107.452896,47.880024,11.552348,8.966993,17.336674,37.74734,13.763745,2.8988824,5.9681273,12.895234,0.7630538,NaN
15.0,5.429585,17.139122,3.7109575,2.626749,51.372604,108.19816,60.732357,13.987123,8.237645,15.962994,40.445152,14.035945,3.0742671,5.5571814,12.107969,0.90735096,NaN
16.0,5.7345753,17.665606,3.626223,2.6240704,52.69027,108.89785,78.158394,13.092469,9.047321,17.371563,41.572422,14.1493435,2.9493866,5.41114,11.494043,0.74253917,NaN
17.0,5.272209,18.645208,4.012995,2.437133,53.97607,109.50099,45.35059,13.383632,10.357041,17.195568,42.48694,14.228707,2.9583259,5.9594755,12.774774,0.9616444,NaN
18.0,5.232724,18.403755,4.1137385,2.5703835,55.18775,110.352196,61.2742,15.412002,9.815104,18.920055,42.720936,14.69862,3.0438294,5.718678,12.144198,0.6623829,NaN
19.0,5.8612785,18.341633,3.8498893,2.7253675,56.338356,110.71754,79.29508,14.390376,9.6677475,18.088362,42.99766,14.952255,3.3323832,5.001037,10.708179,0.86910343,NaN
20.0,5.5815988,19.539917,3.6113195,2.575629,57.360058,110.95346,88.25836,14.835246,8.994233,19.043533,43.83924,14.548424,3.4318743,5.420319,12.500155,0.7222218,NaN
