"Mean size of fish species in cm, weighted by fish numbers, and excluding first ages specified in input"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,10.451357,14.991267,6.469932,5.2123966,67.81928,41.39438,41.233517,4.1175866,1.8535391,9.894871,32.1802,12.085016,1.8583273,2.2961464,3.234664,2.524924,6.992288
2.0,2.6214786,18.465721,7.4159884,6.0535297,52.1769,55.12269,60.763885,6.3573246,7.7471895,13.174931,38.34677,12.490312,1.7897323,5.390398,5.4019985,5.819751,23.725513
3.0,3.3420684,19.60846,9.240086,8.397504,51.93559,65.33802,72.29004,12.345413,6.574726,14.442799,42.22051,17.190874,2.322872,6.9688945,10.601688,8.412149,NaN
4.0,4.928561,18.907368,6.8953924,8.588471,55.18124,73.63733,60.32725,13.983181,5.550494,17.150175,44.212643,12.709526,2.8922646,6.5788164,13.72055,10.781826,NaN
5.0,7.602723,17.733269,5.0974197,5.5601096,57.16948,80.27064,43.48709,16.189138,7.162083,16.6831,44.077812,13.226181,2.8348477,5.2625356,10.007921,12.856464,NaN
6.0,5.9331584,18.24436,5.1317606,4.4328513,57.227444,86.088356,45.370663,19.192972,10.256118,14.3363085,42.88257,17.066366,2.626044,5.1319776,10.596444,2.643713,NaN
7.0,4.2770314,19.417238,4.074619,3.83516,57.05338,91.154915,42.641777,21.451197,8.618762,17.160221,41.30243,13.855632,2.5446424,5.397854,12.136332,5.1497517,NaN
8.0,4.4114466,17.999565,3.5941586,3.5696397,57.094765,95.0192,49.04052,13.8969345,6.9648232,15.973663,40.311813,13.759595,2.731441,5.843041,8.50426,6.640734,NaN
9.0,4.3954525,16.78734,4.064849,3.0063953,57.455593,98.27882,53.455505,13.799181,8.3245,17.110435,39.28995,15.559286,2.8863192,5.1581798,9.305684,7.675124,NaN
10.0,4.537981,16.912949,3.99361,2.5134726,57.82211,101.20709,71.56948,14.057622,8.828025,14.546944,39.053314,13.5053835,2.9943686,5.2800136,9.461341,8.63828,NaN
11.0,5.03976,18.236977,4.107836,2.3250785,54.967445,103.15283,78.85207,14.143718,8.823972,15.703226,38.609306,13.440854,2.9029682,5.9791093,12.535491,2.503022,NaN
12.0,4.7835474,19.611609,3.8372605,2.2103212,50.84091,104.16947,64.327774,15.130733,9.974449,16.64716,37.787663,15.195724,2.9846926,5.0783362,11.981569,1.0133228,NaN
13.0,4.815225,19.129526,3.9106975,2.3222582,49.348946,106.06374,46.754337,13.780041,10.099848,16.599428,34.747704,14.512826,2.9013677,4.819669,12.088899,0.88642603,NaN
14.0,4.4008274,17.405931,4.193985,2.4264092,49.67027,107.4385,47.94407,12.287291,9.179834,16.438677,37.56328,13.718909,2.9370298,6.0102873,12.602699,0.7664328,NaN
15.0,4.8972216,17.369898,3.896134,2.4915116,50.815136,108.22908,58.30705,14.149749,8.618069,14.735236,40.09826,14.12484,3.1491208,5.544115,11.281333,0.90254694,NaN
16.0,5.003699,17.895855,3.7574005,2.440482,52.155785,108.907005,64.64732,13.693721,9.421478,16.385735,41.12799,14.2419405,3.0597641,5.652549,10.499215,0.7404161,NaN
17.0,4.7384496,18.895994,4.1860886,2.3133767,53.450188,109.50669,45.31009,14.070753,10.3858385,16.14924,42.001972,14.254965,3.050505,5.4612975,12.44376,0.9739321,NaN
18.0,4.7219257,18.635687,4.284957,2.4447024,54.666485,110.35621,61.663876,15.68887,10.018331,18.073048,42.170677,14.685632,3.0796018,5.4547586,11.527204,0.6694466,NaN
19.0,5.078716,18.602797,4.076017,2.5398948,55.82277,110.7573,77.234116,14.925856,9.827847,16.884901,42.382423,14.938228,3.4188807,4.9347887,9.797335,0.926108,NaN
20.0,4.914261,19.799797,3.7047198,2.4741883,56.835594,110.97294,91.55894,15.242101,9.225426,18.27234,43.22745,14.648273,3.4205313,5.4008603,11.913825,0.7399183,NaN
