"Distribution of the biomass (tonne) of prey species (in columns) in the diet of Flounders by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,4.539583,1.2448174,0.69306505,3.4318018,0.0,2.6857233E-5,0.0029488548,12.166521,16.15784,2.9459903,0.14211935,0.7058633,32.57937,2.1580746,14.766438,5.5424124E-4,1.455867E-4,0.0,0.0,53.27543,0.0,0.0,0.0,0.0,242.72427
1.0,2.0,1.8315063,0.27251726,0.04051174,0.23545094,0.0,2.2611629E-4,0.06986266,0.43851393,5.459976,0.54446465,0.28959486,0.26885122,6.2125106,0.43356356,0.35324764,0.0054906555,7.4879057E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06477742
1.0,4.0,4.9526563,0.16975203,0.03090693,0.55471337,0.0,8.1649094E-5,0.010866502,0.37812227,4.577261,0.3583213,0.5370469,0.2142356,0.8153353,0.5530891,1.5768481,0.013499445,0.005733597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,4.5502224,0.0765508,0.051683158,0.5683573,0.0,0.0039908607,0.025598988,0.2635809,2.8112738,0.22457385,0.5944227,0.25904757,0.0,0.5931953,1.3189096,0.011111392,0.0055960272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,3.0100029,0.15811267,0.02420081,0.38909528,0.002231218,0.013417187,0.019353306,0.20130709,1.349705,0.20206699,0.38828087,0.20890266,0.0,0.5021228,0.95927787,0.009962844,0.0033143423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,1.988896,0.18895839,0.019035054,0.26650697,0.027971009,0.010588709,0.01944695,0.11277109,0.79071295,0.13063955,0.29359305,0.14706717,0.0,0.34806684,0.65914863,0.0037513084,0.0010577309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,1.1080375,0.18115956,0.009434903,0.17232999,0.022962466,0.011720674,0.013857276,0.07314942,0.43060368,0.087732546,0.17693436,0.074978724,0.0,0.2589566,0.4336985,0.005024,0.0017260402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,14.0,0.6219603,0.11982763,0.0069416706,0.11289423,0.024989543,0.005697657,0.0024868862,0.03128924,0.25066793,0.046516497,0.09136842,0.049347598,0.0,0.16953717,0.25765866,0.005260005,9.48825E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.008104558,8.0239144E-4,1.4824173E-5,0.0014195201,2.3839228E-4,0.0,0.0,0.002078426,0.002547955,5.474798E-4,7.44124E-4,5.067877E-4,0.0,0.0012042753,0.003944253,2.5105008E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
