"Distribution of the biomass (tonne) of prey species (in columns) in the diet of AtlanticHerring by Size class (cm). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,1.2407048,0.057924047,0.14424308,0.91923404,0.0,1.190392E-7,4.972604E-4,1.4749635,4.3074055,14.323017,0.0,0.031238554,43.42695,25.467773,12.106025,0.005538476,0.0,0.0,0.33999288,814.9125,51.678734,452.91962,0.0,372.32477,0.0
1.0,10.0,0.72586066,8.095367,9.882765,18.932037,0.0,4.7268077E-5,0.025040047,121.64297,204.1088,0.119777516,0.0,4.8403606,102.502266,34.233326,171.9681,0.09728391,6.165838E-5,0.0,0.0,2273.2717,0.0,0.0,0.0,0.0,0.0
1.0,20.0,18.11439,4.9739003,4.6089015,1.2443599,0.0,1.3746164E-4,0.023626992,58.30887,34.206398,20.322752,0.2465873,1.8478628,7.1748323,5.591899,38.864613,0.12101962,1.9594419E-4,0.0,0.0,4.4461904E-5,0.0,0.0,0.0,0.0,0.0
1.0,30.0,1.5583612,0.07703772,0.088441044,0.0016753877,0.0,1.48136105E-5,0.0011270883,1.1348493,1.5970724,0.6182722,0.14854416,0.013433043,0.040681493,0.051859386,0.48076642,4.363937E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
