"Distribution of the biomass (tonne) of prey species (in columns) in the diet of SpinyDogfish by Size class (cm). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,1.3080139,0.25654906,0.017367648,0.037471674,0.0,2.1080388E-7,1.0443387E-4,1.9256897,17.295786,0.4735251,0.019383812,0.030219574,11.142465,3.638618,4.0856624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.08303
1.0,30.0,3.0239143,2.7496533,0.063010745,0.19509135,0.0,6.108433E-7,1.237508E-4,4.413569,60.855183,1.5021445,0.04451712,0.12186728,23.979206,8.660838,9.901919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.19457
1.0,40.0,2.2269542,0.8074436,0.020292163,0.11646432,4.3346046E-4,0.002573068,0.0010765151,1.541457,18.979733,0.44721705,0.15273808,0.049302675,9.687598,3.7927184,3.2698278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.22811
1.0,50.0,2.8510566,2.496245,0.03475298,0.19306287,0.005753212,0.012097193,0.0032077432,2.5916846,27.118137,0.8475636,0.3987313,0.13009949,12.185472,5.7146816,5.193461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.81184
1.0,60.0,3.79015,5.2373486,0.04290936,0.3600646,0.018229995,0.06582461,0.010478951,3.292359,33.370884,1.1284887,0.9084204,0.20194912,16.109838,8.681515,6.5232115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.928783
1.0,70.0,5.4748297,8.726348,0.06596276,0.64578176,0.03757854,0.19525181,0.025604066,4.1110425,49.541054,1.7460359,2.0805652,0.35811517,22.889168,12.728643,9.442552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.12018
1.0,80.0,8.169453,13.029241,0.12239406,0.901532,0.06648387,0.4813212,0.060260594,6.681992,67.44932,2.938172,5.5818577,0.8768411,33.352192,18.19773,13.894588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.904274
1.0,90.0,12.761798,20.246576,0.21603228,1.4331883,0.12561005,0.8829333,0.12541462,9.707509,107.6164,4.9236865,13.546192,1.4520046,51.473034,28.295263,21.041857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.14726
1.0,100.0,20.72211,33.728416,0.34828448,2.439161,0.24503279,1.6674242,0.2579817,16.665195,172.20184,8.521914,25.119556,2.4094152,84.21358,47.934082,35.699924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.34193
1.0,110.0,42.67216,67.89558,0.6907023,4.8071995,0.59798104,3.7201238,0.6225795,32.80332,339.55765,18.577446,50.969322,4.887966,168.74565,96.533585,69.9649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.2157
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,4.3437057,0.62983245,0.030771937,0.12981763,0.0,1.9790947E-7,6.5501736E-5,0.7802159,44.855907,0.88445306,0.014991261,0.3622979,18.747265,16.433414,5.8755293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.07946
2.0,30.0,14.384111,6.244046,0.18738808,0.8050222,0.0,2.316618E-6,4.2556858E-4,3.0822062,137.81964,4.897047,0.068944246,1.4579482,53.401955,54.21267,14.890015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.26538
2.0,40.0,10.321266,8.19659,0.13496463,0.55275756,1.4887832E-4,6.538168E-7,4.1015606E-4,2.4782295,84.874405,4.7767305,0.06343622,1.0032898,35.150017,31.663727,9.275447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.1505
2.0,50.0,3.3817434,4.750459,0.041418094,0.15183017,0.0071289623,4.3480333E-7,1.0964733E-4,0.8243512,27.173908,2.0778522,0.1336169,0.40032586,11.322501,9.861087,2.945674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.471252
2.0,60.0,4.291731,7.3593564,0.046757154,0.20908193,0.033400126,2.6379175E-7,3.0058838E-4,1.0440063,36.82318,2.3576794,0.65202856,0.4126178,15.191173,14.350594,4.654592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.56475
2.0,70.0,5.360986,9.801562,0.07234796,0.40488312,0.072064534,1.1045958E-6,0.005465428,1.2179533,49.439426,3.6340668,1.617951,0.46274287,19.243216,18.669222,6.0419445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.33452
2.0,80.0,8.5607,13.979483,0.13157421,0.48612538,0.17554368,0.13841029,0.034538887,2.1153,70.55225,5.3644795,5.101985,0.7931242,29.22732,27.071972,8.307919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.79339
2.0,90.0,13.135042,21.969168,0.17820913,0.7335747,0.2866149,0.96794486,0.080059975,3.2419875,109.04601,7.663821,12.143817,1.291678,42.65445,41.91297,12.837465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.16376
2.0,100.0,19.303362,32.95641,0.29519585,1.1796381,0.45356423,2.1607115,0.1853479,4.882896,162.93517,11.704767,21.978489,1.8738432,63.65892,62.915142,19.374947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.01515
2.0,110.0,32.545006,55.23848,0.50194335,1.9263207,0.8449124,4.1841207,0.41024286,8.111845,273.57587,20.425459,37.008358,3.114956,109.30145,105.283806,33.057583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0605
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,20.0,4.0792994,0.28134957,0.03576405,0.29583678,0.0,1.0194111E-6,4.742926E-5,0.11636084,30.631313,0.38028023,0.02138082,0.079632014,4.7627077,9.240957,1.0647622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.904015
3.0,30.0,13.315607,5.2273254,0.22955064,1.2012477,0.0,2.5811141E-5,4.0535326E-4,1.2696517,109.21085,4.8393903,0.104872935,0.68081343,13.718745,28.33426,7.0544457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.02478
3.0,40.0,22.420546,23.915075,0.7414902,2.1611414,6.118664E-4,8.751779E-5,0.0016003695,4.994883,231.7337,17.449127,0.326315,2.4213204,24.64754,47.754803,11.662422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.1973
3.0,50.0,5.215701,10.472426,0.14804696,0.53334695,0.010761365,2.9894954E-5,5.43889E-4,1.2870723,52.54099,5.859314,0.11628315,0.4796157,6.23005,10.308572,2.5528045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.78661
3.0,60.0,4.3412185,7.6823163,0.10593831,0.3695324,0.02329259,1.4080065E-5,2.5489047E-4,1.0747987,37.73365,3.79879,0.19689617,0.41207427,4.1548057,9.110484,2.0019388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.1105
3.0,70.0,5.631986,10.816846,0.14987087,0.44152194,0.06257829,1.2358223E-5,3.3126088E-4,1.1753979,49.374664,4.9166837,1.3678197,0.56731635,5.7071886,12.498356,2.6969059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.244095
