"% of prey species (in rows) in the diet of predator species (in col)"
"Time","Prey","AtlanticHerring in [0.000000, 4.000000[","AtlanticHerring in [4.000000, 16.700001[","AtlanticHerring in [16.700001, inf[","AtlanticMackerel in [0.000000, 1.700000[","AtlanticMackerel in [1.700000, 28.700001[","AtlanticMackerel in [28.700001, inf[","BlackSeaBass in [0.000000, 2.800000[","BlackSeaBass in [2.800000, 19.100000[","BlackSeaBass in [19.100000, inf[","Scup in [0.000000, 1.000000[","Scup in [1.000000, 15.500000[","Scup in [15.500000, inf[","SpinyDogfish in [0.000000, 80.900002[","SpinyDogfish in [80.900002, inf[","StripedBass in [0.000000, 5.000000[","StripedBass in [5.000000, 50.000000[","StripedBass in [50.000000, inf[","Goosefish in [0.000000, 5.000000[","Goosefish in [5.000000, 46.500000[","Goosefish in [46.500000, inf[","WinterFlounder in [0.000000, 0.780000[","WinterFlounder in [0.780000, 26.799999[","WinterFlounder in [26.799999, inf[","Squids in [0.000000, 1.900000[","Squids in [1.900000, 15.000000[","Squids in [15.000000, inf[","Flounders in [0.000000, 1.600000[","Flounders in [1.600000, 35.000000[","Flounders in [35.000000, inf[","SkateRays in [0.000000, 37.500000[","SkateRays in [37.500000, inf[","Hakes in [0.000000, 2.100000[","Hakes in [2.100000, 23.200001[","Hakes in [23.200001, inf[","Benthopelagics in [0.000000, 2.000000[","Benthopelagics in [2.000000, 4.000000[","Benthopelagics in [4.000000, inf[","MiscellaneousDemersals in [0.000000, 2.200000[","MiscellaneousDemersals in [2.200000, 17.500000[","MiscellaneousDemersals in [17.500000, inf[","ShallowDemersal in [0.000000, 2.300000[","ShallowDemersal in [2.300000, 22.100000[","ShallowDemersal in [22.100000, inf[","WhitePerch in [0.000000, 1.750000[","WhitePerch in [1.750000, 14.250000[","WhitePerch in [14.250000, inf[","AtlanticTomcod in [0.000000, 1.900000[","AtlanticTomcod in [1.900000, 15.000000[","AtlanticTomcod in [15.000000, inf["
1.0,"AtlanticHerring in [0.000000, 4.000000[",0.09971133,0.012455628,0.43863243,NaN,0.51616144,0.5653332,0.0,6.3313465E-8,0.0,0.0,0.04033719,0.026041698,0.2548144,0.1987129,0.0,0.24754347,0.0,0.32681483,0.0,0.0,NaN,0.0,0.0,0.22202735,2.411093,0.060283862,NaN,2.3517277,0.0,0.0,0.0,0.0,0.0011782112,0.0,0.37985072,1.3319614,0.4764446,0.31044456,0.41926712,0.0,0.0085717365,0.3708153,1.7959882,0.0,0.18349354,0.43957433,NaN,0.0026237436,0.05350957
1.0,"AtlanticHerring in [4.000000, 16.700001[",0.0,0.0,0.21037297,NaN,0.04921932,3.566078,0.0,3.4633608E-4,8.490027,0.0,3.612803E-4,6.031958,1.0763202,1.1139883,0.0,7.903752,8.499316,0.0,5.193472,3.4976287,NaN,6.0168386E-5,5.651679,0.0,0.20429419,4.2274623,NaN,0.0095476145,17.618872,1.0204952,2.3992884,0.0,0.013857532,14.7273445,0.0,0.0,0.0,0.0,0.0013189026,5.2768745,0.0,1.2187102E-4,7.33361,0.0,9.585371E-5,2.121237,NaN,0.02973324,0.9365293
1.0,"AtlanticHerring in [16.700001, inf[",0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,3.5956595,0.0,0.0,0.011561151,0.45367384,1.6982132,0.0,5.7507057,16.616776,0.0,4.854189,8.057935,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,13.46872,0.043125484,2.8580554,0.0,0.0,11.933325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"AtlanticMackerel in [0.000000, 1.700000[",0.0,0.0016858878,0.0,NaN,4.7060817E-6,0.0,0.0028925627,0.0015593298,0.0,0.0,1.3147568E-4,0.0,0.0013500241,0.0014279585,0.0072364025,9.509795E-7,0.0,0.0021232124,0.0,0.0,NaN,0.0,0.0,0.011917896,0.4251595,0.0,NaN,0.0,0.0,0.0,0.0,9.582626E-4,0.0,0.0,1.5792613E-4,0.0,0.0033906123,0.0013915922,0.0,0.0,0.0030594312,0.0011798135,0.0,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"AtlanticMackerel in [1.700000, 28.700001[",0.0,0.012760401,0.48203295,NaN,0.006603324,1.1212301,0.0,0.0,1.4781965,0.0,4.236715E-5,1.0600637,1.098637,2.4652028,0.0,1.2445623,4.907684,0.0,1.7478975,6.681877,NaN,8.307773E-5,1.3401539,0.0,1.0906551,1.7008221,NaN,0.029227199,1.6413989,0.7184442,2.072745,0.0,0.0021319743,1.5393873,0.0,0.0,0.0,0.0,9.460788E-5,1.0746398,0.0,6.023328E-5,1.8670183,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"AtlanticMackerel in [28.700001, inf[",0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24928677,2.355499,0.0,0.0,3.0722976,0.0,0.111030124,9.54349,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.094658814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"BlackSeaBass in [0.000000, 2.800000[",3.7419325E-6,0.040353287,0.39050958,NaN,0.016998775,0.39691675,0.0011250383,0.1899631,0.0,0.008823356,1.0484267E-4,0.0,0.008705702,0.008850631,7.0281536E-4,2.5576961E-5,0.0,3.8822734E-4,0.0,0.0,NaN,0.022131527,0.0,0.007157523,2.4066339,0.0,NaN,0.0023944352,0.0,0.0,0.0,3.141769E-4,0.00703085,0.0,1.7509304E-4,3.9826905E-6,0.006202518,4.981711E-4,7.004712E-6,0.0,0.0012432573,0.0069901035,0.61577547,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"BlackSeaBass in [2.800000, 19.100000[",0.0,1.6388312E-7,0.27823368,NaN,0.0052945535,0.90612024,0.0,5.839272E-8,0.15193123,0.0,8.087842E-6,0.353421,0.016921455,0.019200353,0.0,0.077766396,0.011996972,0.0,0.04999421,0.026806153,NaN,8.368653E-6,1.3009064,0.0,1.2391456,0.38509217,NaN,0.015048924,0.5985167,0.020865047,0.03338215,0.0,0.0013662695,0.6130816,0.0,0.0,0.0,0.0,1.8999353E-4,0.63857806,0.0,7.987988E-5,1.3503711,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"BlackSeaBass in [19.100000, inf[",0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.08072228,0.0,0.0,0.0,0.0010127928,0.021288125,0.0,0.001291844,0.31319964,0.0,0.12367034,0.30591676,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.2809508,0.0,0.0014187209,0.0,0.0,0.43788368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"Scup in [0.000000, 1.000000[",0.0,5.038303E-4,0.0,NaN,0.011196219,0.0,0.007724477,0.003140447,0.0,0.0,4.7736842E-4,0.0,7.5016904E-4,9.786014E-4,0.0055392417,8.5376706E-7,0.0,0.027500756,0.0,0.0,NaN,0.0029723418,0.0,0.014470734,0.13568105,0.0,NaN,0.0,0.0,0.0,0.0,0.012312748,0.0020917926,0.0,0.0048887036,8.746923E-4,8.5520715E-4,0.0028117897,6.112323E-4,0.0,0.0019767391,0.033295136,0.0,0.0,0.0,0.0,NaN,0.0,0.0
