"Mean Trophic Level of fish species, weighted by fish biomass, and excluding first ages specified in input"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,3.499792,4.003238,4.4075913,4.401362,4.279953,4.778972,5.150596,3.5835755,3.8769312,4.191929,4.16651,4.6421585,3.3430526,3.6708589,3.5381536,3.7457566,4.1882877
2.0,3.433185,3.894603,4.236878,4.0483284,4.3526583,5.013611,5.30002,3.6585453,4.3797574,3.8362606,4.2844696,3.8085754,3.272842,3.596706,3.627527,3.823313,4.3000007
3.0,3.3657103,3.828136,3.932419,3.7608054,4.2602935,5.071094,5.2138753,3.641018,4.3787637,3.8368213,4.2340336,4.4094324,3.2872953,3.5963821,3.8664384,3.7950373,NaN
4.0,3.4064507,3.7899399,4.0598474,3.7087317,4.1457944,4.9963193,5.1233196,3.6615543,4.308683,3.9087658,4.160206,4.0804877,3.3008225,3.5925446,3.9360561,3.6595905,NaN
5.0,3.4559398,3.8473032,4.085409,3.7773428,4.139227,4.9873123,5.1058197,3.6970158,4.366552,3.9446712,4.184552,3.8648593,3.301632,3.6110778,3.8664675,3.7407448,NaN
6.0,3.522128,3.84863,4.0722027,3.7399504,4.1541123,4.992295,5.111059,3.6770167,4.423126,3.8826327,4.2114906,4.1517754,3.29982,3.587296,3.999349,3.5210369,NaN
7.0,3.4739265,3.8376806,4.0495205,3.7489622,4.1827435,4.9990816,5.126636,3.6595442,4.376646,3.8468585,4.2447386,4.0664067,3.2968776,3.578164,4.045472,3.596317,NaN
8.0,3.4638803,3.836304,4.054759,3.7409136,4.159941,4.99464,5.1081233,3.6919262,4.3374753,3.8642259,4.23168,3.9338417,3.301777,3.5884733,4.0635667,3.5616937,NaN
9.0,3.439649,3.7933133,4.0912447,3.7496474,4.154028,4.997951,5.1296625,3.6972785,4.3738537,3.9487393,4.2221174,4.169162,3.305347,3.6106153,3.9544487,3.5353348,NaN
10.0,3.462957,3.7649848,4.125275,3.7475042,4.155889,4.9925895,5.129181,3.698377,4.4029427,3.941317,4.217588,4.02725,3.3077586,3.5973988,3.8961945,3.524969,NaN
11.0,3.4572525,3.7531035,4.1015863,3.741394,4.1478133,4.9617286,5.1065702,3.671659,4.404887,3.8662617,4.1988654,3.9115634,3.3126426,3.5815825,3.8734987,3.5630305,NaN
12.0,3.4605792,3.811395,4.0751867,3.758518,4.139032,4.9650865,5.086713,3.6881378,4.429775,3.8799818,4.197578,4.0441265,3.3079724,3.580809,3.998563,3.571742,NaN
13.0,3.4785452,3.8335042,4.0901527,3.756101,4.140181,4.984334,5.089452,3.689686,4.4125123,3.9313989,4.1650705,4.1179132,3.3037531,3.5936322,3.9803,3.6592457,NaN
14.0,3.4197085,3.803165,4.075781,3.742175,4.1191034,4.9979124,5.0897903,3.7430675,4.408083,3.9554162,4.1676345,4.026767,3.3032267,3.5959506,3.987412,3.6753547,NaN
15.0,3.4427447,3.7820666,4.1005697,3.756617,4.118633,4.9890804,5.109086,3.7241948,4.3808417,3.9372976,4.1833224,4.00815,3.3090403,3.5989099,3.97833,3.6928399,NaN
16.0,3.4577937,3.7839644,4.0715446,3.7596915,4.1069536,4.9856906,5.099883,3.718997,4.425568,3.9296238,4.1901464,4.085228,3.3046544,3.5909967,3.9907827,3.679425,NaN
17.0,3.449016,3.8018732,4.0679903,3.747928,4.098001,4.9817595,5.086117,3.6771894,4.420982,3.8873105,4.191694,3.9998899,3.3057234,3.6163397,3.9630098,3.6917877,NaN
18.0,3.4524412,3.8066137,4.030172,3.7622442,4.0929685,4.994236,5.089247,3.6834662,4.4061112,3.9167986,4.1893992,4.051865,3.3123722,3.6008599,3.984319,3.6625407,NaN
19.0,3.4641728,3.8038962,4.101325,3.7591214,4.0998335,4.986171,5.0908713,3.6790688,4.4079795,3.9023786,4.203949,4.1584764,3.3143983,3.5870519,3.8636558,3.6854813,NaN
20.0,3.4622147,3.8042989,4.0703473,3.7588499,4.1034865,4.9905076,5.1045265,3.7131443,4.409641,3.9382834,4.2157583,4.038006,3.3152008,3.5982933,3.8633828,3.6872907,NaN
