Year,MONTH,AtlanticHerring,AtlanticMackerel,BlackSeaBass,Scup,StripedBass,Goosefish,WinterFlounder,Squids,Flounders,SkateRays,Hakes,Benthopelagics,MiscellaneousDemersals,ShallowDemersal,WhitePerch,AtlanticTomcod
2000,3,0,NA,NA,NA,47,NA,0,NA,2,NA,NA,NA,NA,119,432,0
2000,4,0,0,NA,NA,26,NA,0,NA,0,NA,33,NA,NA,3,667,2737.333333
2000,5,2,0,NA,NA,6,NA,38,NA,1,NA,16,284,2,10,239,969.3333333
2000,9,NA,NA,NA,NA,316,NA,NA,0,2,0,3,4502,767,3380,924,688
2000,10,NA,NA,NA,NA,77,NA,NA,0,2,0,3,1957,913,1735,1401,729
2000,11,NA,NA,NA,NA,47,NA,NA,0,NA,0,1,449,1757,211,1947,479
2001,3,0,NA,NA,NA,40,NA,0,NA,1,NA,NA,NA,NA,5,405,4
2001,4,4,0,NA,NA,56,NA,3,NA,2,NA,45,0,2,4,779,1024.533333
2001,5,153.3333333,NA,NA,NA,18,NA,53,NA,2,NA,114,133,4,39,303,13136.66667
2001,9,NA,NA,NA,NA,263,NA,2,0,1,0,2,10290,863,4884,889,9
2001,10,NA,NA,NA,NA,258,NA,NA,0,3,0,1,6835,1254,3756,1091,5
2001,11,NA,NA,NA,NA,70,NA,NA,0,1,0,82,302,2830,76,1460,2
2002,3,NA,NA,NA,NA,64,NA,0,NA,0,NA,1,5,0,9,479,1
2002,4,8,NA,NA,NA,13,NA,4,NA,0,NA,24,91,9,22,303,1097
2002,5,1,0,NA,NA,22,NA,9,NA,8,NA,33,1336,11.33333333,289,183,727
2002,9,NA,NA,NA,NA,100,NA,NA,0,1,0,1,9866,219,2110,428,12
2002,10,NA,NA,NA,1,132,NA,1,0,2,0,4,10986,948,1372,1105,15
2002,11,NA,NA,NA,NA,48,NA,NA,0,NA,0,0,671,473,90,875,8
2003,3,0,NA,NA,NA,75,NA,0,NA,1,NA,NA,NA,NA,3,1412,0
2003,4,0,0,NA,NA,114,NA,0,NA,2,NA,61,NA,0,6,1423,1
2003,5,20,0,NA,NA,19,NA,65,NA,2,NA,222,606,0,10,250,6182
2003,9,NA,NA,NA,NA,956,NA,2,0,2,0,5,11626,829,5016,2063,82
2003,10,NA,NA,NA,2,674,NA,NA,0,1,0,1,5035,152,3251,2993,126
2003,11,NA,NA,NA,NA,100,NA,NA,0,1,0,1,109,30,44,1522,14
2004,3,0,NA,NA,NA,80,NA,0,NA,2,NA,NA,NA,0,27,1234,7
2004,4,21,NA,NA,NA,69,NA,2,NA,0,NA,44,NA,NA,9,986,748
2004,5,12.66666667,0,NA,NA,19,NA,16,NA,1,NA,123,968,0,43,446,18323
2004,9,NA,NA,NA,NA,326,NA,NA,0,5,0,0,14906,1410,1052,468,353
