year,period,5,15,25,35,45,55,65,75,85,95,105,115,125
2000,0,NA,16.27231245,957.9446458,136.9226217,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,0,NA,102.03984,3219.584249,411.6280375,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,0,NA,NA,2974.314346,529.501991,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,0,87.26289458,567.2523546,1776.605586,1060.909272,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,0,NA,241.1846003,2163.592675,492.9683803,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,0,7.300612929,125.6082281,2717.568678,352.4089927,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,0,NA,NA,5248.933775,2307.692131,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0,NA,0.305414551,1974.383346,291.0770452,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0,NA,NA,3597.636268,1204.813129,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0,14.13082136,38.01392217,3613.302015,865.2812518,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0,NA,1394.797999,543.9835601,96.55706812,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0,NA,144.0820562,2995.910541,95.16183586,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0,NA,NA,1064.63245,58.46612207,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0,NA,186.0269014,2019.815315,137.7931194,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0,NA,312.7017664,2439.602819,201.3919368,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0,NA,41.37107679,462.1107771,25.09617481,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0,NA,NA,788.7772145,1514.058565,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0,NA,NA,544.725412,285.47951,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,0,NA,0.60993322,296.9743497,445.6434306,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,0,NA,NA,17.20996417,84.84712517,NA,NA,NA,NA,NA,NA,NA,NA,NA
