year,period,5,15,25,35,45,55,65,75,85,95,105,115,125
2000,0,NA,NA,2310.75177,2554.246865,275.1630487,NA,NA,NA,NA,NA,NA,NA,NA
2001,0,NA,NA,3445.506319,5377.814367,21.80079106,NA,NA,NA,NA,NA,NA,NA,NA
2002,0,NA,NA,1304.561206,9958.023093,36.31995857,NA,NA,NA,NA,NA,NA,NA,NA
2003,0,NA,0.271144819,5110.614871,5177.524578,170.389763,NA,NA,NA,NA,NA,NA,NA,NA
2004,0,NA,NA,8582.815381,247.0463641,5.850953519,NA,NA,NA,NA,NA,NA,NA,NA
2005,0,NA,NA,2260.095384,2345.243031,37.57783004,NA,NA,NA,NA,NA,NA,NA,NA
2006,0,NA,NA,10447.05371,6457.718706,53.85401163,NA,NA,NA,NA,NA,NA,NA,NA
2007,0,NA,NA,1395.510686,2135.21533,27.30617799,NA,NA,NA,NA,NA,NA,NA,NA
2008,0,NA,NA,11299.69592,11398.81495,47.02035498,NA,NA,NA,NA,NA,NA,NA,NA
2009,0,NA,NA,14849.91889,8737.68459,1.362278829,NA,NA,NA,NA,NA,NA,NA,NA
2010,0,NA,NA,1412.316988,265.9601855,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0,NA,NA,7854.796521,249.640613,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0,NA,NA,1864.194129,815.1436792,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0,NA,NA,888.2651577,513.1575575,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0,NA,NA,385.5858646,599.7871456,0.199144889,NA,NA,NA,NA,NA,NA,NA,NA
2015,0,NA,NA,39.68666181,205.6180163,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0,NA,NA,2711.974636,952.8697615,3.701042682,NA,NA,NA,NA,NA,NA,NA,NA
2017,0,NA,NA,2139.700755,1091.705675,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,0,NA,NA,2788.32778,2463.303602,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,0,NA,NA,2929.778938,3211.225419,1.651795459,NA,NA,NA,NA,NA,NA,NA,NA
