year,period,5,15,25,35,45,55,65,75,85,95,105,115,125
2000,0,43.07773631,1700.646968,606.6794817,2.853564465,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,0,105.4520919,1073.266922,832.6972057,5.694607628,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,0,559.1219007,12955.112,4641.191971,336.6337331,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,0,291.1537157,236.8741424,69.6876659,3.77701053,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,0,226.106919,1626.207003,2749.625741,31.39300555,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,0,17.73290398,569.4309678,33.85482189,0.306549868,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,0,32.8524828,1483.751288,480.8963946,2057.815283,24.21272315,NA,NA,NA,NA,NA,NA,NA,NA
2007,0,147.1138239,762.2210623,56.76530525,11.71072171,0.737082054,NA,NA,NA,NA,NA,NA,NA,NA
2008,0,1.303320562,340.160311,1837.587868,107.5386349,5.195956726,NA,NA,NA,NA,NA,NA,NA,NA
2009,0,60.47036441,1684.115512,523.8763903,26.19365261,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0,15.53799512,1778.885988,5232.990932,1768.51147,39.85633767,NA,NA,NA,NA,NA,NA,NA,NA
2011,0,2.745400091,1364.172382,47.0061141,6.778767448,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0,9.458516684,4369.297126,630.285989,91.13367244,0.078032556,NA,NA,NA,NA,NA,NA,NA,NA
2013,0,12.65434374,648.692383,1266.684755,25.85328263,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0,53.15911579,2234.675391,14124.76905,4121.831187,105.3585617,NA,NA,NA,NA,NA,NA,NA,NA
2015,0,172.0012887,3474.600657,235.4890131,718.0833999,13.4312993,NA,NA,NA,NA,NA,NA,NA,NA
2016,0,33.88257869,12885.36112,9982.180011,2807.980623,290.0404877,NA,NA,NA,NA,NA,NA,NA,NA
2017,0,NA,1758.227992,2147.395702,53.04133788,3.534475853,NA,NA,NA,NA,NA,NA,NA,NA
2018,0,1660.659031,2812.719082,1382.315553,338.9062334,12.47805454,NA,NA,NA,NA,NA,NA,NA,NA
2019,0,99.98019409,764.0303677,2756.979339,1093.911591,22.32979292,NA,NA,NA,NA,NA,NA,NA,NA
