year,period,5,15,25,35,45,55,65,75,85,95,105,115,125
2000,0,NA,58.07280042,454.0609957,1114.942051,150.7198356,0.236592772,NA,NA,NA,NA,NA,NA,NA
2001,0,NA,25.24099555,265.6869707,530.3619215,187.8778607,0.288686439,NA,NA,NA,NA,NA,NA,NA
2002,0,NA,7.564375621,543.607339,2302.307621,521.8853886,21.14079906,NA,NA,NA,NA,NA,NA,NA
2003,0,NA,18.28920134,217.8989517,528.3845457,141.80262,0.276311876,NA,NA,NA,NA,NA,NA,NA
2004,0,NA,79.99236453,443.4099052,350.833522,123.2239635,NA,NA,NA,NA,NA,NA,NA,NA
2005,0,NA,3.312451271,246.180256,730.3934033,136.2721634,6.7372997,NA,NA,NA,NA,NA,NA,NA
2006,0,NA,63.62251618,307.0190472,403.7833047,76.27631076,0.811173516,NA,NA,NA,NA,NA,NA,NA
2007,0,NA,5.667906458,154.3541434,269.2299316,100.3838413,4.762837921,NA,NA,NA,NA,NA,NA,NA
2008,0,NA,20.33358653,202.4609159,435.8788966,85.80383696,12.52212148,NA,NA,NA,NA,NA,NA,NA
2009,0,NA,34.10489783,173.5369679,359.2490216,99.00968162,6.482022612,NA,NA,NA,NA,NA,NA,NA
2010,0,NA,67.12331439,175.5645827,303.3033756,168.8550023,0.315414531,NA,NA,NA,NA,NA,NA,NA
2011,0,NA,47.10454279,87.14786438,267.2178123,132.3491099,6.030900416,NA,NA,NA,NA,NA,NA,NA
2012,0,NA,1.777214053,497.6962234,1012.648638,428.7301333,37.85461492,NA,NA,NA,NA,NA,NA,NA
2013,0,NA,0.621508767,15.21346285,126.8639051,95.94550182,5.05580388,NA,NA,NA,NA,NA,NA,NA
2014,0,NA,31.01159419,124.940283,142.3693407,102.8195587,4.609605089,NA,NA,NA,NA,NA,NA,NA
2015,0,NA,26.97927797,189.1463288,68.14694745,13.30053855,NA,NA,NA,NA,NA,NA,NA,NA
2016,0,NA,133.0361466,201.0831638,202.0447409,81.38587783,3.72654764,NA,NA,NA,NA,NA,NA,NA
2017,0,NA,20.19938359,22.65583548,39.8707071,5.573288643,0.064169974,NA,NA,NA,NA,NA,NA,NA
2018,0,2.470417999,26.33895774,346.6284418,164.4645195,54.09015034,6.30991189,NA,NA,NA,NA,NA,NA,NA
2019,0,NA,4.846110755,62.6924578,63.72799152,20.6412092,NA,NA,NA,NA,NA,NA,NA,NA
