,YEAR,season,AtlanticHerring,AtlanticMackerel,BlackSeaBass,Scup,SpinyDogfish,StripedBass,Goosefish,Haddock,WinterFlounder,Squids,Flounders,SkateRays,Hakes,Benthopelagics,MiscellaneousDemersals,ShallowDemersal
1,2000,fall,NA,811.3545953,230.0587813,3905.010804,14112.63684,NA,800.1222643,0.385354369,2391.25439,19611.51568,5719.665433,6032.561878,4938.627429,11633.98772,6862.816901,43.43785277
2,2000,spring,2222.27916,9468.968773,45.2208475,801.5046975,32515.17337,768.5443874,583.0654006,NA,1164.81016,4934.401405,6091.16631,29369.46136,1329.820196,1641.122309,5722.650474,1305.408119
3,2001,fall,NA,17.99568186,266.8322923,2345.338434,32666.35251,6.978890229,1258.170618,NA,1212.729536,15104.28254,4568.895937,9594.165051,6675.407844,2810.207801,14934.61745,66.66195249
4,2001,spring,7466.504252,17672.24727,469.5099573,1688.88322,40182.02605,12.82677899,484.6469431,NA,806.1833336,3212.783483,8193.487875,18058.05418,5976.820804,4130.436148,11265.4585,4087.532134
5,2002,fall,NA,6.788458286,409.6564791,2483.449577,41268.30147,443.2818883,1685.015682,NA,5623.007145,27674.94272,7693.200622,8003.668256,3793.994878,5694.76353,21854.31461,76.98448769
6,2002,spring,7007.632674,22591.02006,1835.749837,34500.66963,176905.341,2007.91408,554.4257418,NA,1170.003902,5423.039712,5800.527755,22363.8924,2775.777702,4698.624713,2950.590699,1543.398905
7,2003,fall,12.00434944,8.982455855,159.7973955,693.2000905,60747.18244,787.8330949,1683.081366,3959.226773,1439.05184,12522.53019,5701.132816,39990.04588,6552.896407,3097.860623,14873.23796,24.08129983
8,2003,spring,6972.055865,20908.61826,3379.567414,509.7849785,61098.55274,17.13382609,2472.908418,NA,374.2514216,425.8307123,7981.57998,19605.06619,1779.299319,248.0158678,5141.197471,1169.459458
9,2004,fall,239.5209844,1.039338936,202.4640219,3534.281595,103526.122,68.36760283,1547.280086,0.71427193,1265.454307,10342.83448,6445.197772,6870.500616,5130.454513,8612.229694,8630.338563,19.80348489
10,2004,spring,5555.970327,17670.38606,1241.264074,5732.383742,20226.80005,3.755754261,283.315047,35.78564107,729.4652034,1571.222371,6992.947964,28060.11843,1885.009263,369.8098223,5077.765308,2675.200625
11,2005,fall,NA,20.10548816,112.7515542,287.8969035,26634.53155,194.0534708,1116.882479,10749.21269,1945.065937,13066.97945,6092.612226,17184.90828,3770.679263,12148.33324,3540.909014,0.009695103
12,2005,spring,6405.773023,9265.727002,1573.169855,954.7535836,14375.5028,37.575993,573.3139905,0.002028786,300.72521,3034.24231,4562.485477,10740.70519,2536.063568,3260.332962,5562.038777,1987.544704
13,2006,fall,NA,4.978202743,167.4156934,2524.791132,86450.57286,230.1674744,1167.141995,NA,895.5411481,33751.43885,6521.679494,11550.28279,5551.592285,9559.937548,13279.23026,30.5820834
14,2006,spring,15113.25181,33912.27465,291.0773922,5634.265211,259170.5154,119.8737932,807.8538428,5.209789716,807.4835565,5953.115284,5701.484089,17015.92748,1734.084908,4850.225927,2302.037693,2053.048163
15,2007,fall,8.421883212,0.809408415,99.75722442,1137.778344,25948.7957,144.4867101,945.6464825,NA,616.9181533,14608.15924,3676.641569,6699.186913,2478.045192,4016.59837,2653.942092,9.992697706
16,2007,spring,4523.109728,7115.254979,459.3921536,819.3176469,82627.46038,66.24059346,949.6780643,NA,451.8791681,4026.973202,6484.744706,13054.99251,2417.072766,2249.740438,921.1342296,2204.273715
