Prey / Predator,AtlanticHerring<4,AtlanticHerring,AtlanticMackerel<1.7,AtlanticMackerel,BlackSeaBass<2.8,BlackSeaBass,Scup<1,Scup,SpinyDogfish,StripedBass<5,StripedBass,Goosefish<5,Goosefish,WinterFlounder<3,WinterFlounder,Squids<1.9,Squids,Flounders<3.5,Flounders,SkateRays,Hakes<2.1,Hakes,Benthopelagics<2,Benthopelagics,MiscellaneousDemersals<2.2,MiscellaneousDemersals,ShallowDemersal<2.3,ShallowDemersal,WhitePerch<1.75,WhitePerch,AtlanticTomcod<1.9,AtlanticTomcod
AtlanticHerring<4,0.01,0.01,0.8,0.8,0.8,0,0.8,0.01,0.8,0.8,0.8,0.8,0,0.8,0,0.8,0.49,0.8,0,0,0.8,0.01,0.8,0.8,0.8,0,0.8,0.8,0.8,0.5,0.8,0.01
AtlanticHerring,0.6,0.01,0.6,0.49,0.6,0.49,0.6,0.49,0.37,0.6,0.8,0.6,0.17,0.6,0.8,0.6,0.49,0.6,0.49,0.52,0.6,0.36,0.6,0.8,0.6,0.31,0.6,0.6,0.6,0.44,0.6,0.73
AtlanticMackerel<1.7,0.8,0.8,0.01,0.01,0.8,0,0.8,0.01,0.8,0.8,0.8,0.8,0,0.8,0,0.8,0.8,0.8,0,0,0.8,0.01,0.8,0.8,0.8,0,0.8,0.8,0.8,0.5,0.8,0.01
AtlanticMackerel,0.6,0.49,0.6,0.01,0.6,0.8,0.6,0.8,0.8,0.6,0.58,0.6,0.8,0.6,0.58,0.6,0.8,0.6,0.8,0.8,0.6,0.8,0.6,0.49,0.6,0.73,0.6,0.8,0.6,0.22,0.6,0.68
BlackSeaBass<2.8,0.8,0.8,0.8,0.8,0.3,0.3,0.8,0.01,0.8,0.8,0.8,0.8,0,0.8,0,0.8,0.8,0.8,0,0,0.8,0.01,0.8,0.8,0.8,0,0.8,0.8,0.8,0.5,0.8,0.01
BlackSeaBass,0,0.49,0,0.8,0,0.3,0,0.8,0.8,0,0.58,0,0.8,0,0.58,0,0.8,0,0.8,0.8,0,0.8,0,0.49,0,0.73,0,0.8,0,0.22,0,0.68
Scup<1,0.8,0.8,0.8,0.8,0.8,0,0.01,0.01,0.8,0.8,0.8,0.8,0,0.8,0,0.8,0.8,0.8,0,0,0.8,0.01,0.8,0.8,0.8,0,0.8,0.8,0.8,0.5,0.8,0.01
Scup,0,0.49,0,0.8,0,0.8,0,0.01,0.8,0,0.58,0,0.8,0,0.58,0,0.8,0,0.8,0.8,0,0.8,0,0.49,0,0.73,0,0.8,0,0.22,0,0.68
SpinyDogfish,0,0.37,0,0.8,0,0.8,0,0.8,0.1,0,0.48,0,0.8,0,0.48,0,0.8,0,0.8,0.8,0,0.8,0,0.37,0,0.76,0,0.76,0,0,0,0.6
StripedBass<5,0.8,0.8,0.8,0.8,0.8,0,0.8,0.01,0.8,0.3,0.3,0.8,0,0.8,0,0.8,0.58,0.8,0,0,0.8,0.01,0.8,0.8,0.8,0,0.8,0.8,0.8,0.5,0.8,0.01
